"Year","Region","value","Unit"
1985,"Africa & Asia",16239,"MJ/t of alumina"
1986,"Africa & Asia",15536,"MJ/t of alumina"
1987,"Africa & Asia",18016,"MJ/t of alumina"
1988,"Africa & Asia",15463,"MJ/t of alumina"
1989,"Africa & Asia",14456,"MJ/t of alumina"
1990,"Africa & Asia",15488,"MJ/t of alumina"
1991,"Africa & Asia",15379,"MJ/t of alumina"
1992,"Africa & Asia",15004,"MJ/t of alumina"
1993,"Africa & Asia",15698,"MJ/t of alumina"
1994,"Africa & Asia",15169,"MJ/t of alumina"
1995,"Africa & Asia",15065,"MJ/t of alumina"
1996,"Africa & Asia",16455,"MJ/t of alumina"
1997,"Africa & Asia",16356,"MJ/t of alumina"
1998,"Africa & Asia",17468,"MJ/t of alumina"
1999,"Africa & Asia",17106,"MJ/t of alumina"
2000,"Africa & Asia",16687,"MJ/t of alumina"
2001,"Africa & Asia",15421,"MJ/t of alumina"
2002,"Africa & Asia",12938,"MJ/t of alumina"
2003,"Africa & Asia",14536,"MJ/t of alumina"
2004,"Africa & Asia",12581,"MJ/t of alumina"
2005,"Africa & Asia",12788,"MJ/t of alumina"
2006,"Africa & Asia",19093,"MJ/t of alumina"
2007,"Africa & Asia",18057,"MJ/t of alumina"
2008,"Africa & Asia",16787,"MJ/t of alumina"
2009,"Africa & Asia",16955,"MJ/t of alumina"
2010,"Africa & Asia",16212,"MJ/t of alumina"
2011,"Africa & Asia",15491,"MJ/t of alumina"
2012,"Africa & Asia",15683,"MJ/t of alumina"
2013,"Africa & Asia",16642,"MJ/t of alumina"
2014,"Africa & Asia",15011,"MJ/t of alumina"
2015,"Africa & Asia",14786,"MJ/t of alumina"
2016,"Africa & Asia",15037,"MJ/t of alumina"
2017,"Africa & Asia",13099,"MJ/t of alumina"
2018,"Africa & Asia",12324,"MJ/t of alumina"
1985,"North America",12048,"MJ/t of alumina"
1986,"North America",11512,"MJ/t of alumina"
1987,"North America",12728,"MJ/t of alumina"
1988,"North America",13365,"MJ/t of alumina"
1989,"North America",13653,"MJ/t of alumina"
1990,"North America",13289,"MJ/t of alumina"
1991,"North America",13286,"MJ/t of alumina"
1992,"North America",13020,"MJ/t of alumina"
1993,"North America",12872,"MJ/t of alumina"
1994,"North America",12327,"MJ/t of alumina"
1995,"North America",12528,"MJ/t of alumina"
1996,"North America",12668,"MJ/t of alumina"
1997,"North America",11356,"MJ/t of alumina"
1998,"North America",11025,"MJ/t of alumina"
1999,"North America",11273,"MJ/t of alumina"
2000,"North America",11654,"MJ/t of alumina"
2001,"North America",11082,"MJ/t of alumina"
2002,"North America",11957,"MJ/t of alumina"
2003,"North America",10927,"MJ/t of alumina"
2004,"North America",10352,"MJ/t of alumina"
2005,"North America",11385,"MJ/t of alumina"
2006,"North America",12076,"MJ/t of alumina"
2007,"North America",10961,"MJ/t of alumina"
2008,"North America",10871,"MJ/t of alumina"
2009,"North America",11819,"MJ/t of alumina"
2010,"North America",12018,"MJ/t of alumina"
2011,"North America",11262,"MJ/t of alumina"
2012,"North America",11617,"MJ/t of alumina"
2013,"North America",11451,"MJ/t of alumina"
2014,"North America",11953,"MJ/t of alumina"
2015,"North America",12158,"MJ/t of alumina"
2016,"North America",11591,"MJ/t of alumina"
2017,"North America",9879,"MJ/t of alumina"
2018,"North America",9888,"MJ/t of alumina"
1985,"South America",12452,"MJ/t of alumina"
1986,"South America",10286,"MJ/t of alumina"
1987,"South America",9965,"MJ/t of alumina"
1988,"South America",9981,"MJ/t of alumina"
1989,"South America",11462,"MJ/t of alumina"
1990,"South America",11985,"MJ/t of alumina"
1991,"South America",12278,"MJ/t of alumina"
1992,"South America",12372,"MJ/t of alumina"
1993,"South America",12613,"MJ/t of alumina"
1994,"South America",12644,"MJ/t of alumina"
1995,"South America",12794,"MJ/t of alumina"
1996,"South America",12580,"MJ/t of alumina"
1997,"South America",12052,"MJ/t of alumina"
1998,"South America",12144,"MJ/t of alumina"
1999,"South America",11709,"MJ/t of alumina"
2000,"South America",11903,"MJ/t of alumina"
2001,"South America",11807,"MJ/t of alumina"
2002,"South America",11436,"MJ/t of alumina"
2003,"South America",11112,"MJ/t of alumina"
2004,"South America",10043,"MJ/t of alumina"
2005,"South America",11190,"MJ/t of alumina"
2006,"South America",11065,"MJ/t of alumina"
2007,"South America",10741,"MJ/t of alumina"
2008,"South America",10504,"MJ/t of alumina"
2009,"South America",9554,"MJ/t of alumina"
2010,"South America",9814,"MJ/t of alumina"
2011,"South America",9043,"MJ/t of alumina"
2012,"South America",8882,"MJ/t of alumina"
2013,"South America",8847,"MJ/t of alumina"
2014,"South America",8624,"MJ/t of alumina"
2015,"South America",8974,"MJ/t of alumina"
2016,"South America",8640,"MJ/t of alumina"
2017,"South America",8591,"MJ/t of alumina"
2018,"South America",9330,"MJ/t of alumina"
1985,"Europe",12267,"MJ/t of alumina"
1986,"Europe",12126,"MJ/t of alumina"
1987,"Europe",12269,"MJ/t of alumina"
1988,"Europe",12230,"MJ/t of alumina"
1989,"Europe",11893,"MJ/t of alumina"
1990,"Europe",12001,"MJ/t of alumina"
1991,"Europe",12084,"MJ/t of alumina"
1992,"Europe",12453,"MJ/t of alumina"
1993,"Europe",12264,"MJ/t of alumina"
1994,"Europe",11723,"MJ/t of alumina"
1995,"Europe",12094,"MJ/t of alumina"
1996,"Europe",11987,"MJ/t of alumina"
1997,"Europe",12191,"MJ/t of alumina"
1998,"Europe",13031,"MJ/t of alumina"
1999,"Europe",12883,"MJ/t of alumina"
2000,"Europe",12627,"MJ/t of alumina"
2001,"Europe",12934,"MJ/t of alumina"
2002,"Europe",13490,"MJ/t of alumina"
2003,"Europe",12312,"MJ/t of alumina"
2004,"Europe",12403,"MJ/t of alumina"
2005,"Europe",12510,"MJ/t of alumina"
2006,"Europe",17005,"MJ/t of alumina"
2007,"Europe",14628,"MJ/t of alumina"
2008,"Europe",15840,"MJ/t of alumina"
2009,"Europe",17137,"MJ/t of alumina"
2010,"Europe",14627,"MJ/t of alumina"
2011,"Europe",14274,"MJ/t of alumina"
2012,"Europe",13255,"MJ/t of alumina"
2013,"Europe",13791,"MJ/t of alumina"
2014,"Europe",13086,"MJ/t of alumina"
2015,"Europe",12979,"MJ/t of alumina"
2016,"Europe",12908,"MJ/t of alumina"
2017,"Europe",12807,"MJ/t of alumina"
2018,"Europe",13076,"MJ/t of alumina"
1985,"Oceania",13417,"MJ/t of alumina"
1986,"Oceania",13031,"MJ/t of alumina"
1987,"Oceania",12592,"MJ/t of alumina"
1988,"Oceania",12402,"MJ/t of alumina"
1989,"Oceania",12339,"MJ/t of alumina"
1990,"Oceania",12706,"MJ/t of alumina"
1991,"Oceania",12435,"MJ/t of alumina"
1992,"Oceania",12447,"MJ/t of alumina"
1993,"Oceania",11398,"MJ/t of alumina"
1994,"Oceania",11500,"MJ/t of alumina"
1995,"Oceania",12301,"MJ/t of alumina"
1996,"Oceania",12213,"MJ/t of alumina"
1997,"Oceania",12269,"MJ/t of alumina"
1998,"Oceania",12126,"MJ/t of alumina"
1999,"Oceania",11964,"MJ/t of alumina"
2000,"Oceania",11370,"MJ/t of alumina"
2001,"Oceania",11087,"MJ/t of alumina"
2002,"Oceania",11375,"MJ/t of alumina"
2003,"Oceania",11745,"MJ/t of alumina"
2004,"Oceania",11864,"MJ/t of alumina"
2005,"Oceania",11444,"MJ/t of alumina"
2006,"Oceania",11457,"MJ/t of alumina"
2007,"Oceania",11230,"MJ/t of alumina"
2008,"Oceania",11295,"MJ/t of alumina"
2009,"Oceania",11203,"MJ/t of alumina"
2010,"Oceania",10721,"MJ/t of alumina"
2011,"Oceania",11411,"MJ/t of alumina"
2012,"Oceania",10128,"MJ/t of alumina"
2013,"Oceania",10508,"MJ/t of alumina"
2014,"Oceania",10673,"MJ/t of alumina"
2015,"Oceania",10450,"MJ/t of alumina"
2016,"Oceania",10746,"MJ/t of alumina"
2017,"Oceania",10600,"MJ/t of alumina"
2018,"Oceania",10713,"MJ/t of alumina"
1985,"China",NA,"MJ/t of alumina"
1986,"China",NA,"MJ/t of alumina"
1987,"China",NA,"MJ/t of alumina"
1988,"China",NA,"MJ/t of alumina"
1989,"China",NA,"MJ/t of alumina"
1990,"China",NA,"MJ/t of alumina"
1991,"China",NA,"MJ/t of alumina"
1992,"China",NA,"MJ/t of alumina"
1993,"China",NA,"MJ/t of alumina"
1994,"China",NA,"MJ/t of alumina"
1995,"China",NA,"MJ/t of alumina"
1996,"China",NA,"MJ/t of alumina"
1997,"China",NA,"MJ/t of alumina"
1998,"China",40632,"MJ/t of alumina"
1999,"China",38278,"MJ/t of alumina"
2000,"China",35644,"MJ/t of alumina"
2001,"China",34691,"MJ/t of alumina"
2002,"China",33948,"MJ/t of alumina"
2003,"China",32612,"MJ/t of alumina"
2004,"China",30088,"MJ/t of alumina"
2005,"China",29348,"MJ/t of alumina"
2006,"China",23598,"MJ/t of alumina"
2007,"China",25522,"MJ/t of alumina"
2008,"China",23356,"MJ/t of alumina"
2009,"China",19385,"MJ/t of alumina"
2010,"China",18581,"MJ/t of alumina"
2011,"China",16640,"MJ/t of alumina"
2012,"China",17140,"MJ/t of alumina"
2013,"China",15523,"MJ/t of alumina"
2014,"China",13936,"MJ/t of alumina"
2015,"China",12524,"MJ/t of alumina"
2016,"China",11954,"MJ/t of alumina"
2017,"China",12054,"MJ/t of alumina"
2018,"China",11525,"MJ/t of alumina"
1985,"GLO",12977,"MJ/t of alumina"
1986,"GLO",12156,"MJ/t of alumina"
1987,"GLO",12229,"MJ/t of alumina"
1988,"GLO",12234,"MJ/t of alumina"
1989,"GLO",12476,"MJ/t of alumina"
1990,"GLO",12737,"MJ/t of alumina"
1991,"GLO",12696,"MJ/t of alumina"
1992,"GLO",12705,"MJ/t of alumina"
1993,"GLO",12353,"MJ/t of alumina"
1994,"GLO",12194,"MJ/t of alumina"
1995,"GLO",12621,"MJ/t of alumina"
1996,"GLO",12637,"MJ/t of alumina"
1997,"GLO",12339,"MJ/t of alumina"
1998,"GLO",14919,"MJ/t of alumina"
1999,"GLO",14774,"MJ/t of alumina"
2000,"GLO",14479,"MJ/t of alumina"
2001,"GLO",14366,"MJ/t of alumina"
2002,"GLO",14554,"MJ/t of alumina"
2003,"GLO",14193,"MJ/t of alumina"
2004,"GLO",13756,"MJ/t of alumina"
2005,"GLO",14133,"MJ/t of alumina"
2006,"GLO",15201,"MJ/t of alumina"
2007,"GLO",15934,"MJ/t of alumina"
2008,"GLO",15554,"MJ/t of alumina"
2009,"GLO",14647,"MJ/t of alumina"
2010,"GLO",14346,"MJ/t of alumina"
2011,"GLO",13759,"MJ/t of alumina"
2012,"GLO",13675,"MJ/t of alumina"
2013,"GLO",13260,"MJ/t of alumina"
2014,"GLO",12579,"MJ/t of alumina"
2015,"GLO",11933,"MJ/t of alumina"
2016,"GLO",11388,"MJ/t of alumina"
2017,"GLO",11564,"MJ/t of alumina"
2018,"GLO",11359,"MJ/t of alumina"
